Shipment_ID,Order_ID,Ship_Date,Delivery_Date,Origin,Destination,Status,Weight_kg,Cost,Shipping_Days,Cost_per_kg,Is_Delayed
SH655901,O454459,5/21/2024,8/21/2025,Cairo,Toronto,Delayed,498.26,984.15,457,1.975173604,1
SH232608,O237905,11/11/2024,2/1/2024,New York,Paris,Delivered,83.13,381.67,-284,4.591242632,0
SH338422,O682399,7/11/2025,9/5/2025,New York,Dubai,In Transit,254.49,1750.72,56,6.879327282,0
SH218382,O198952,7/8/2024,8/16/2025,Mumbai,Los Angeles,Returned,28.56,1079.13,404,37.78466387,0
SH978942,O769062,1/6/2024,7/3/2025,Mumbai,Paris,Delivered,348.77,475.43,544,1.363161969,0
SH659474,O520200,7/3/2024,8/14/2024,Cairo,Toronto,delivered,278.33,834.15,42,2.996982,0
SH864890,O744751,11/27/2023,10/18/2024,New York,Toronto,Returned,260.12,557.87,326,2.144664001,0
SH334601,O538449,8/29/2024,12/15/2023,London,Los Angeles,delivered,461.64,1837.68,-258,3.980764232,0
SH359299,O781400,5/17/2024,5/23/2024,London,Dubai,In Transit,45.26,728.7,6,16.10030932,0
SH264914,O265885,3/5/2025,3/26/2024,Cairo,Dubai,delivered,346.61,705.61,-344,2.035746228,0
SH789365,O593437,10/26/2024,4/5/2024,Cairo,Toronto,Delivered,104.97,1564.52,-204,14.90444889,0
SH780585,O859107,2/8/2025,5/22/2025,Mumbai,Los Angeles,Delivered,413.31,1885.07,103,4.560910697,0
SH685783,O381068,2/10/2025,3/23/2024,London,Dubai,delivered,340.35,357.09,-324,1.049184663,0
SH795766,O507925,12/22/2024,9/7/2024,New York,Dubai,In Transit,347.94,440.16,-106,1.265045698,0
SH728485,O818122,5/4/2024,5/4/2025,New York,Los Angeles,delivered,92.84,1696.78,365,18.27638949,0
SH429237,O703226,3/28/2024,4/8/2024,Mumbai,Los Angeles,Delayed,250.32,135.52,11,0.541387025,1
