python clean_data.pyShipment_ID,Order_ID,Ship_Date,Delivery_Date,Origin,Destination,Status,Weight_kg,Cost
SH655901,O454459,5/21/2024,8/21/2025,Cairo,Toronto,Delayed,498.26,984.15
SH232608,O237905,11/11/2024,2/1/2024,New York,Paris,Delivered,83.13,381.67
SH338422,O682399,7/11/2025,9/5/2025,New York,Dubai,In Transit,,1750.72
SH218382,O198952,7/8/2024,8/16/2025,Mumbai,Los Angeles,Returned,28.56,1079.13
SH978942,O769062,1/6/2024,7/3/2025,Mumbai,Paris,Delivered,348.77,475.43
SH659474,O520200,7/3/2024,8/14/2024,Cairo,Toronto,delivered,278.33,834.15
SH864890,O744751,11/27/2023,10/18/2024,New York,Toronto,Returned,260.12,557.87
SH334601,O538449,8/29/2024,12/15/2023,London,Los Angeles,delivered,461.64,1837.68
SH359299,O781400,5/17/2024,5/23/2024,London,Dubai,In Transit,45.26,728.7
SH264914,O265885,3/5/2025,3/26/2024,Cairo,Dubai,delivered,346.61,705.61
SH789365,O593437,10/26/2024,4/5/2024,Cairo,Toronto,Delivered,104.97,1564.52
SH780585,O859107,2/8/2025,5/22/2025,Mumbai,Los Angeles,Delivered,413.31,1885.07
SH685783,O381068,2/10/2025,3/23/2024,London,Dubai,delivered,340.35,357.09
SH795766,O507925,12/22/2024,9/7/2024,New York,Dubai,In Transit,347.94,440.16
SH728485,O818122,5/4/2024,5/4/2025,New York,Los Angeles,delivered,92.84,1696.78
SH429237,O703226,3/28/2024,4/8/2024,Mumbai,Los Angeles,Delayed,250.32,135.52
SH292389,O979145,3/23/2024,4/4/2025,London,Dubai,Delayed,483.6,1404.91
SH474593,O166672,11/18/2023,8/13/2025,Cairo,Toronto,Delayed,368.01,406.61
SH123302,O892285,11/21/2024,12/1/2024,Cairo,Dubai,Delayed,163.18,1753.22
SH853664,O815869,4/12/2024,2/24/2025,Berlin,Los Angeles,Delayed,63.46,1139.23
SH293965,O212476,1/6/2024,3/25/2024,Berlin,Sydney,Delivered,310.15,1777.39
SH277452,O990545,7/15/2025,9/24/2025,New York,Los Angeles,delivered,487.38,1541.86
SH298705,O319082,1/7/2024,12/12/2024,Mumbai,Sydney,In Transit,470.3,20.36
SH832226,O789124,7/5/2024,7/23/2024,Mumbai,Paris,Returned,463.91,1897.13
SH465950,O363596,7/8/2025,9/8/2024,New York,Los Angeles,Delayed,8.43,1659.9
SH557728,O910923,9/25/2025,8/8/2024,New York,Dubai,Returned,153.57,1249.25
SH983077,O190129,1/23/2024,7/7/2025,New York,Dubai,Delivered,328.22,807.53
SH848236,O609427,9/22/2024,4/22/2025,New York,Toronto,delivered,252.91,
SH135702,O153064,1/10/2024,4/14/2024,New York,Toronto,delivered,494.37,1568.17
SH476801,O754814,8/1/2024,6/12/2024,Berlin,Toronto,In Transit,479.44,1527.48
SH823505,O271665,11/15/2023,8/23/2024,New York,Dubai,Delayed,,496.84
SH775298,O878304,5/3/2024,10/7/2025,Berlin,Los Angeles,Delayed,428.99,623.52
SH136511,O478670,10/30/2023,10/3/2025,Cairo,Paris,Delayed,55.32,1144.71
SH370851,O668628,10/2/2024,1/16/2025,London,Sydney,In Transit,125.7,1005.43
SH752197,O202761,5/2/2025,5/3/2025,London,Sydney,In Transit,439.79,1708.81
SH687624,O114557,2/17/2025,2/27/2025,London,Los Angeles,Delivered,252.92,1545.26
SH468785,O331067,6/1/2025,6/9/2025,Cairo,Los Angeles,Delivered,108.25,1569.86
SH371979,O757838,7/29/2024,5/1/2024,Mumbai,Paris,In Transit,413.56,1919.98
SH335483,O987002,6/10/2025,7/30/2024,Cairo,Dubai,In Transit,395.96,1248.39
SH694418,O437662,8/3/2025,2/14/2024,Berlin,Paris,Delivered,97.96,1458.34
SH381226,O831410,6/16/2025,10/28/2023,Cairo,Paris,delivered,135.17,1795.53
SH864674,O574076,3/4/2024,10/15/2025,London,Sydney,Delivered,172.73,212.23
SH987184,O243440,3/13/2025,4/1/2025,Cairo,Paris,Returned,,1470.6
SH225339,O207582,11/18/2024,11/22/2024,Mumbai,Paris,Delayed,287.51,1692.2
SH139163,O955259,10/17/2025,9/4/2024,London,Paris,Delivered,221.13,
SH249314,O582589,4/25/2024,4/27/2025,Cairo,Dubai,In Transit,431.93,1930.76
SH699479,O576665,11/25/2023,5/7/2025,New York,Los Angeles,Returned,331.77,1935.34
SH894775,O308244,10/1/2024,12/23/2024,New York,Paris,delivered,372.21,1543.74
SH175204,O265247,3/1/2024,3/21/2025,Mumbai,Sydney,Delayed,244.26,142.06
SH210271,O352405,12/31/2023,7/21/2024,Berlin,Los Angeles,Delayed,490.22,844.68
SH100359,O362262,2/18/2024,9/10/2025,London,Toronto,Delayed,331.07,1554.73
SH809533,O282288,4/23/2024,3/10/2025,New York,Dubai,delivered,167.88,
SH695899,O371849,12/16/2023,3/11/2025,Berlin,Toronto,Delayed,475.24,1695.84
SH159910,O734056,5/16/2025,2/8/2024,Cairo,Dubai,In Transit,,39.35
SH382124,O405267,9/19/2025,8/8/2025,London,Los Angeles,Delayed,,1105.29
SH125338,O130339,2/10/2024,9/17/2025,London,Los Angeles,delivered,113.96,1845.19
SH158508,O742451,10/9/2025,8/13/2025,Mumbai,Los Angeles,Delivered,254.29,1042.44
SH911289,O161453,5/13/2025,12/18/2023,Cairo,Paris,Returned,436.1,500.05
SH223792,O905841,9/14/2024,1/18/2024,Cairo,Los Angeles,Delayed,117.95,282.97
SH493110,O975435,5/2/2024,9/28/2024,Berlin,Paris,Delivered,346.27,99.42
SH706077,O127304,8/7/2025,4/22/2024,Mumbai,Dubai,Delayed,455.89,1539.96
SH332120,O759885,4/1/2024,5/12/2025,New York,Los Angeles,Returned,164.23,159.34
SH122673,O866092,11/27/2024,11/20/2023,Mumbai,Dubai,Returned,336.42,524.33
SH807864,O710149,10/14/2025,10/28/2025,New York,Los Angeles,Delayed,397.97,1118.25
SH383424,O530064,5/1/2025,2/15/2024,Mumbai,Paris,In Transit,343.31,347.46
SH724879,O433695,12/29/2024,5/8/2025,Cairo,Toronto,Returned,,1165.06
SH252794,O676195,9/23/2024,2/7/2024,New York,Dubai,Delayed,243.26,1413.86
SH339118,O989290,7/4/2025,2/16/2025,London,Dubai,Delivered,106.47,904.25
SH158273,O654918,4/20/2025,7/16/2025,Cairo,Toronto,Delivered,477.77,629.79
SH245170,O315770,1/31/2024,7/22/2024,Berlin,Sydney,Returned,83.67,293.46
SH923099,O521396,6/13/2025,6/15/2025,London,Paris,delivered,496.43,967.64
SH184144,O945483,1/5/2025,1/19/2025,London,Toronto,delivered,84.8,
SH652494,O452000,9/27/2025,2/26/2025,Cairo,Toronto,Delayed,310.53,708.77
SH215252,O557149,4/6/2024,12/10/2023,London,Toronto,In Transit,239.51,194.21
SH294891,O313433,10/9/2025,10/23/2025,Mumbai,Toronto,Delivered,,927.36
SH326634,O416175,12/31/2023,3/25/2025,London,Dubai,Delayed,217.06,1469.54
SH498185,O989839,7/13/2024,7/22/2024,Mumbai,Paris,Returned,46.33,
SH813210,O917884,2/17/2025,11/26/2023,Mumbai,Dubai,Delayed,477.27,
SH947131,O783001,6/25/2025,7/25/2025,Mumbai,Paris,Returned,34.51,636.42
SH146543,O970639,10/6/2025,12/10/2023,Mumbai,Paris,In Transit,194.28,1325.07
SH842384,O298400,10/20/2025,6/6/2024,Berlin,Los Angeles,Delayed,252.8,941.77
SH416604,O816088,9/2/2025,8/3/2025,London,Sydney,Delayed,302.6,890.67
SH288969,O564022,12/8/2023,10/7/2025,Mumbai,Dubai,Delayed,455.34,1004.35
SH288097,O984214,3/24/2025,6/2/2025,Mumbai,Paris,Returned,44.94,590.65
SH931459,O957661,2/10/2024,5/10/2024,Mumbai,Sydney,Returned,157.55,594.55
SH794426,O398464,9/15/2025,3/13/2025,Mumbai,Dubai,Returned,445.25,1513.4
SH798634,O919430,8/1/2025,8/30/2024,New York,Sydney,Delivered,108.84,1046.51
SH225974,O985441,8/12/2024,8/26/2025,New York,Los Angeles,Returned,272.51,56.02
SH472133,O322953,4/6/2025,2/18/2024,Berlin,Paris,Returned,198.75,11.16
SH742477,O760402,5/23/2025,9/25/2025,London,Sydney,Returned,,881.46
SH818522,O737331,5/7/2024,3/21/2025,London,Dubai,Delivered,273.21,1179.41
SH509148,O376100,8/1/2025,8/26/2024,London,Los Angeles,In Transit,290.96,307.79
SH110245,O560617,7/28/2025,6/21/2025,Mumbai,Los Angeles,Returned,38.87,1411.11
SH133194,O288789,1/26/2024,3/29/2025,New York,Dubai,Delivered,71.53,397.71
SH106348,O751018,7/31/2024,5/5/2025,Mumbai,Sydney,Delayed,44.67,1608.03
SH789409,O678677,5/3/2025,8/4/2025,Berlin,Toronto,delivered,218.08,412.89
SH112158,O213357,10/17/2025,3/27/2025,New York,Paris,Delivered,121.08,16.59
SH833197,O412729,3/19/2025,6/10/2025,New York,Toronto,In Transit,192.08,1785.63
SH835144,O349171,8/3/2024,8/8/2024,New York,Dubai,In Transit,109.28,1366.68
SH499405,O230562,12/28/2024,9/29/2024,London,Dubai,In Transit,367.77,754.76
SH461460,O450064,10/11/2025,12/16/2023,Berlin,Paris,delivered,33.33,218.95
SH662787,O797955,1/7/2024,6/28/2024,Berlin,Los Angeles,delivered,390.06,
SH890178,O393146,4/12/2024,3/27/2025,Mumbai,Toronto,Delivered,3.12,607.04
SH691677,O860834,9/3/2025,10/13/2025,Mumbai,Dubai,Delayed,138.07,307.07
SH470673,O641012,12/31/2024,4/10/2025,Mumbai,Sydney,In Transit,171.19,1084.7
SH924710,O244800,10/10/2024,10/23/2024,Cairo,Toronto,Delivered,42.37,805.42
SH596584,O766072,10/5/2025,12/12/2023,London,Paris,Delayed,391.09,1359.24
SH108127,O220032,1/5/2024,12/15/2024,Cairo,Dubai,Delivered,207.66,1342.95
SH755089,O931723,10/11/2024,1/1/2025,London,Dubai,Delayed,377.16,
SH706605,O194170,6/17/2025,6/29/2025,Cairo,Toronto,Returned,159.35,102.24
SH239824,O556147,7/4/2024,11/23/2023,Berlin,Sydney,Delayed,371.78,1970.48
SH769495,O839852,5/6/2024,5/1/2025,Mumbai,Paris,Delivered,35.37,1577.49
SH234182,O425850,1/20/2024,12/17/2024,Cairo,Paris,Returned,79.79,1527.15
SH960159,O192357,4/24/2025,9/3/2025,Berlin,Paris,delivered,175.02,493.55
SH860984,O185564,12/13/2023,3/9/2025,New York,Dubai,Delayed,362.89,1262.88
SH334070,O207623,8/1/2025,9/20/2024,Mumbai,Dubai,In Transit,349.26,23.18
SH215576,O590412,9/4/2025,7/1/2025,Berlin,Sydney,Delivered,463.89,1428.8
SH534418,O140710,3/14/2024,6/1/2025,New York,Sydney,delivered,462.82,1818.32
SH610342,O360371,12/28/2023,6/26/2025,Berlin,Toronto,Delivered,389.95,785.18
SH464839,O574696,3/25/2024,2/12/2024,New York,Paris,Returned,364.77,203.29
SH778910,O474016,5/25/2025,6/12/2025,London,Los Angeles,Returned,158.5,792.2
SH943182,O340134,7/14/2025,7/23/2025,London,Sydney,Delayed,203.07,1642.05
SH385310,O206579,4/28/2024,2/11/2025,Cairo,Toronto,In Transit,452.12,1955.96
SH359622,O594895,6/13/2025,12/8/2023,Berlin,Toronto,Delivered,469.01,1138.83
SH967472,O447760,11/6/2024,11/20/2024,Berlin,Los Angeles,Returned,88.17,648.25
SH926925,O287078,1/28/2024,4/5/2024,New York,Paris,Delivered,349.33,1134.92
SH100249,O224302,12/19/2024,8/19/2025,Mumbai,Los Angeles,Delayed,344.7,377.34
SH320871,O375908,5/21/2024,10/18/2024,London,Dubai,Delivered,269.15,690.75
SH572395,O575580,7/30/2024,9/29/2024,Cairo,Dubai,Delivered,475.7,474.9
SH103222,O436343,11/8/2023,10/30/2023,Mumbai,Paris,Delivered,373.3,1625.28
SH687610,O634024,9/15/2025,7/25/2024,Cairo,Sydney,In Transit,482.2,101.99
SH415369,O738527,12/29/2023,6/2/2025,Mumbai,Dubai,delivered,174.83,198.92
SH280398,O124077,8/9/2024,6/15/2025,Cairo,Dubai,In Transit,299.59,397.82
SH368920,O551494,2/16/2025,3/4/2025,London,Sydney,Delayed,160.17,287.18
SH399712,O289918,6/11/2025,2/18/2024,New York,Dubai,In Transit,316.2,
SH220539,O996767,4/15/2025,11/14/2024,New York,Dubai,Delayed,151.97,1327.44
SH905488,O584840,6/17/2025,9/16/2024,Cairo,Toronto,Delayed,184.77,716.24
SH352810,O643728,7/12/2024,7/17/2025,Berlin,Paris,Delivered,334.83,474.47
SH248963,O177267,7/10/2025,7/28/2025,Cairo,Toronto,Delayed,170.49,942.17
SH305428,O521301,12/12/2024,7/4/2025,New York,Los Angeles,Delivered,450.71,1727.52
SH640892,O787138,9/28/2024,4/2/2025,Cairo,Toronto,Returned,281.43,541.41
SH471839,O111937,7/19/2025,7/24/2025,London,Toronto,Delivered,60.78,1761.45
SH801537,O849149,10/25/2024,10/2/2024,Mumbai,Paris,Returned,,957.01
SH626680,O728942,6/13/2025,6/9/2024,London,Paris,Delayed,420.39,1577.59
SH325181,O483890,12/13/2024,4/11/2024,New York,Sydney,delivered,86.14,1799.02
SH765695,O419595,2/10/2025,6/6/2024,New York,Toronto,delivered,42.88,304.81
SH953991,O894389,7/6/2025,7/14/2025,Berlin,Dubai,Returned,448.17,673.06
SH653363,O735263,10/11/2025,10/28/2024,New York,Dubai,In Transit,76.52,600.96
SH153297,O531396,10/31/2024,11/4/2024,London,Dubai,delivered,112.4,29.09
SH518350,O626499,8/7/2025,6/26/2025,London,Paris,Delivered,461.8,1522.89
SH106941,O471962,5/18/2025,9/10/2025,London,Sydney,Returned,433.25,941.5
SH442936,O731162,1/6/2025,3/9/2025,New York,Los Angeles,delivered,300.4,1031.28
SH763911,O108908,2/21/2024,2/14/2025,New York,Dubai,In Transit,102.62,
SH649005,O872211,7/6/2024,6/19/2024,New York,Los Angeles,delivered,150.44,1778.49
SH839854,O141510,5/29/2025,6/16/2025,Berlin,Los Angeles,Delivered,364.12,1993.81
SH478058,O640131,1/12/2024,8/13/2025,London,Los Angeles,Delayed,354.93,409.07
SH838961,O774362,8/3/2024,10/11/2024,New York,Sydney,Delayed,213.58,260.92
SH626515,O988619,3/25/2025,4/6/2025,London,Toronto,Returned,366.85,
SH822579,O413775,9/9/2025,10/15/2025,Berlin,Dubai,Delivered,24.48,277.05
SH886067,O727286,5/11/2024,6/16/2024,Berlin,Toronto,In Transit,76,989.76
SH492868,O853849,11/10/2024,11/15/2024,Berlin,Toronto,In Transit,295.45,193.5
SH674714,O461657,7/19/2024,10/21/2024,Mumbai,Los Angeles,Delivered,236.94,7.67
SH957865,O457360,8/16/2024,4/19/2024,Mumbai,Paris,delivered,153.31,1857.55
SH542717,O310778,5/3/2025,11/2/2023,New York,Sydney,Delivered,86.65,448.64
SH747975,O614955,3/11/2025,3/14/2025,New York,Paris,delivered,32.25,866.52
SH561858,O501646,4/17/2024,4/22/2024,Mumbai,Los Angeles,delivered,377.84,480.07
SH212016,O451903,8/14/2024,11/6/2023,Mumbai,Sydney,Delivered,465.47,886.51
SH304000,O882682,7/30/2024,8/12/2024,London,Dubai,Delivered,410.06,488.22
SH140460,O455749,1/5/2025,10/29/2023,New York,Dubai,In Transit,149.63,1870.22
SH670020,O608202,10/21/2025,12/26/2024,New York,Toronto,Delayed,181.47,1213.08
SH145531,O658010,12/4/2024,12/16/2024,Mumbai,Los Angeles,Returned,300.32,402.68
SH767864,O839757,12/11/2024,3/8/2025,New York,Paris,Delivered,200.53,306.45
SH567628,O140298,3/14/2025,2/1/2024,Cairo,Los Angeles,In Transit,299.83,1171.37
SH665985,O283442,5/8/2024,1/25/2024,Cairo,Sydney,In Transit,45.27,862.82
SH233450,O441266,11/24/2023,9/26/2024,Mumbai,Sydney,Delayed,103.74,1845.23
SH256569,O155344,11/28/2023,7/13/2024,New York,Toronto,Delivered,126.02,643.81
SH536618,O197568,2/1/2025,2/23/2024,London,Paris,In Transit,275.1,587.77
SH800099,O501101,1/8/2025,1/10/2025,Cairo,Toronto,Delayed,351,1935.35
SH363072,O637126,9/3/2025,9/14/2025,New York,Sydney,Returned,137.23,1759.62
SH692741,O735199,9/15/2025,2/15/2025,Cairo,Los Angeles,delivered,251.31,1020.03
SH654116,O994014,4/24/2025,5/13/2024,Berlin,Toronto,delivered,408.27,614.28
SH265818,O581742,2/16/2025,4/25/2025,London,Los Angeles,Delayed,442.04,1631.99
SH637253,O216439,10/11/2025,10/29/2025,Mumbai,Paris,In Transit,458.53,
SH462158,O510215,8/12/2025,8/30/2025,Mumbai,Toronto,Delivered,331.99,1884.05
SH450335,O100654,5/14/2024,10/2/2024,London,Toronto,Returned,455.61,808.6
SH922497,O647859,9/18/2024,10/12/2024,London,Los Angeles,delivered,68.05,1067.53
SH541329,O987256,11/9/2024,11/11/2024,Berlin,Toronto,Delayed,228.96,1461.44
SH708839,O517987,2/21/2024,5/22/2024,London,Paris,Returned,318.76,1292.37
SH717539,O822968,12/5/2024,6/17/2025,New York,Los Angeles,delivered,440.61,1148.33
SH748169,O667490,5/16/2024,6/22/2024,London,Toronto,Delivered,70.13,897.99
SH439657,O250064,7/9/2024,10/25/2024,Mumbai,Toronto,Returned,426.65,369.72
